time_s,C1(mol/m^3),C2(mol/m^3),J1(mol/s),J2(mol/s),J_left_2D(mol/(m s)),J_right_2D(mol/(m s)),J_left_total(mol/s),J_right_total(mol/s),Int_C_domain(mol),balance(mol),target(mol),residual(mol),relative_residual
30450.0,0.019953020759797897,4.020028869044249e-05,-3.484374349637696e-13,3.484374349635477e-13,-6.968748699275392e-11,6.968748699270954e-11,-3.484374349637696e-13,3.484374349635477e-13,4.998305262121463e-09,5.003303567384206e-06,5e-06,3.3035673842052033e-09,0.0006607134768410407
30480.0,0.019952978947481294,4.024210100704499e-05,-3.4843597168774626e-13,3.4843597168753017e-13,-6.968719433754925e-11,6.968719433750603e-11,-3.4843597168774626e-13,3.4843597168753017e-13,4.998305262121459e-09,5.003303567384206e-06,5e-06,3.3035673842052033e-09,0.0006607134768410407
30510.0,0.019952937135340285,4.028391314805511e-05,-3.484345084178717e-13,3.4843450841765733e-13,-6.968690168357434e-11,6.968690168353147e-11,-3.484345084178717e-13,3.4843450841765733e-13,4.998305262121483e-09,5.003303567384206e-06,5e-06,3.3035673842052033e-09,0.0006607134768410407
30540.0,0.019952895323374863,4.0325725113473576e-05,-3.4843304515413727e-13,3.4843304515392977e-13,-6.968660903082745e-11,6.968660903078595e-11,-3.4843304515413727e-13,3.4843304515392977e-13,4.998305262121509e-09,5.003303567384206e-06,5e-06,3.3035673842052033e-09,0.0006607134768410407
30570.0,0.019952853511585034,4.036753690330114e-05,-3.484315818965508e-13,3.484315818963469e-13,-6.968631637931016e-11,6.968631637926938e-11,-3.484315818965508e-13,3.484315818963469e-13,4.998305262121511e-09,5.003303567384206e-06,5e-06,3.3035673842052033e-09,0.0006607134768410407
30600.0,0.019952811699970797,4.0409348517538524e-05,-3.4843011864510455e-13,3.4843011864490906e-13,-6.96860237290209e-11,6.968602372898181e-11,-3.4843011864510455e-13,3.4843011864490906e-13,4.998305262121528e-09,5.003303567384206e-06,5e-06,3.3035673842052033e-09,0.0006607134768410407
30630.0,0.01995276988853215,4.045115995618648e-05,-3.4842865539980983e-13,3.484286553996161e-13,-6.968573107996196e-11,6.968573107992322e-11,-3.4842865539980983e-13,3.484286553996161e-13,4.998305262121544e-09,5.003303567384205e-06,5e-06,3.3035673842043563e-09,0.0006607134768408712
30660.0,0.019952728077269093,4.0492971219245745e-05,-3.4842719216065657e-13,3.48427192160468e-13,-6.968543843213131e-11,6.96854384320936e-11,-3.4842719216065657e-13,3.48427192160468e-13,4.9983052621215585e-09,5.003303567384206e-06,5e-06,3.3035673842052033e-09,0.0006607134768410407
30690.0,0.019952686266181616,4.053478230671704e-05,-3.4842572892764703e-13,3.484257289274648e-13,-6.968514578552941e-11,6.968514578549296e-11,-3.4842572892764703e-13,3.484257289274648e-13,4.998305262121561e-09,5.003303567384205e-06,5e-06,3.3035673842043563e-09,0.0006607134768408712
30720.0,0.01995264445526973,4.057659321860111e-05,-3.48424265700784e-13,3.484242657006065e-13,-6.96848531401568e-11,6.96848531401213e-11,-3.48424265700784e-13,3.484242657006065e-13,4.9983052621215775e-09,5.003303567384204e-06,5e-06,3.3035673842035093e-09,0.0006607134768407019
30750.0,0.019952602644533433,4.0618403954898696e-05,-3.484228024800671e-13,3.48422802479893e-13,-6.968456049601342e-11,6.96845604959786e-11,-3.484228024800671e-13,3.48422802479893e-13,4.998305262121599e-09,5.003303567384205e-06,5e-06,3.3035673842043563e-09,0.0006607134768408712
30780.0,0.01995256083397272,4.0660214515610536e-05,-3.4842133926549525e-13,3.4842133926532425e-13,-6.968426785309905e-11,6.968426785306485e-11,-3.4842133926549525e-13,3.4842133926532425e-13,4.9983052621216e-09,5.003303567384205e-06,5e-06,3.3035673842043563e-09,0.0006607134768408712
30810.0,0.01995251902358759,4.070202490073737e-05,-3.484198760570667e-13,3.484198760569003e-13,-6.968397521141334e-11,6.968397521138006e-11,-3.484198760570667e-13,3.484198760569003e-13,4.998305262121608e-09,5.003303567384203e-06,5e-06,3.3035673842026622e-09,0.0006607134768405324
30840.0,0.019952477213378048,4.0743835110279926e-05,-3.4841841285478327e-13,3.484184128546211e-13,-6.968368257095665e-11,6.968368257092423e-11,-3.4841841285478327e-13,3.484184128546211e-13,4.9983052621216255e-09,5.003303567384204e-06,5e-06,3.3035673842035093e-09,0.0006607134768407019
30870.0,0.019952435403344092,4.078564514423894e-05,-3.4841694965864754e-13,3.4841694965848654e-13,-6.96833899317295e-11,6.968338993169731e-11,-3.4841694965864754e-13,3.4841694965848654e-13,4.998305262121636e-09,5.003303567384205e-06,5e-06,3.3035673842043563e-09,0.0006607134768408712
30900.0,0.019952393593485714,4.082745500261516e-05,-3.484154864686523e-13,3.484154864684967e-13,-6.968309729373046e-11,6.968309729369934e-11,-3.484154864686523e-13,3.484154864684967e-13,4.9983052621216445e-09,5.003303567384205e-06,5e-06,3.3035673842043563e-09,0.0006607134768408712
